architecture,optimal_sigma,task,implant_type,model_type,accuracy
VGG16,4.010618558416029,shape,12_10,streaky,0.6669711586206897
VGG16,4.010618558416029,shape,12_20,pointy,0.7895011186903138
VGG16,4.010618558416029,shape,12_20,streaky,0.7250987620357633
VGG16,4.010618558416029,shape,6_10,pointy,0.6084850958904109
VGG16,4.010618558416029,shape,6_10,streaky,0.609982601078167
VGG16,4.010618558416029,shape,6_15,pointy,0.7009345231607629
VGG16,4.010618558416029,shape,6_15,streaky,0.6706684836065573
VGG16,4.010618558416029,shape,6_20,pointy,0.7164480273972602
VGG16,4.010618558416029,shape,6_20,streaky,0.6833819471488176
VGG16,4.010618558416029,shape,9_10,pointy,0.6793869452054795
VGG16,4.010618558416029,shape,9_10,streaky,0.6588900000000001
VGG19,3.3048192864546717,shape,12_10,pointy,0.6835377173913044
VGG19,3.3048192864546717,shape,12_10,streaky,0.6784569931034483
VGG19,3.3048192864546717,shape,12_20,pointy,0.7646625648021829
VGG19,3.3048192864546717,shape,12_20,streaky,0.7513501375515819
VGG19,3.3048192864546717,shape,6_10,pointy,0.5928619178082191
VGG19,3.3048192864546717,shape,6_10,streaky,0.614267371967655
VGG19,3.3048192864546717,shape,6_15,pointy,0.6787135286103542
VGG19,3.3048192864546717,shape,6_15,streaky,0.6665746584699453
VGG19,3.3048192864546717,shape,6_20,pointy,0.7299698767123288
VGG19,3.3048192864546717,shape,6_20,streaky,0.6883170375521558
VGG19,3.3048192864546717,shape,9_10,pointy,0.6653896986301369
VGG19,3.3048192864546717,shape,9_10,streaky,0.6684632599724897
ViT Base,9.961599478004475,shape,12_10,pointy,0.6936501902173913
ViT Base,9.961599478004475,shape,12_10,streaky,0.701703972413793
ViT Base,9.961599478004475,shape,12_20,pointy,0.7232432196452934
ViT Base,9.961599478004475,shape,12_20,streaky,0.7306870013755158
ViT Base,9.961599478004475,shape,6_10,pointy,0.6196777397260274
ViT Base,9.961599478004475,shape,6_10,streaky,0.6381775202156333
ViT Base,9.961599478004475,shape,6_15,pointy,0.6775282833787466
ViT Base,9.961599478004475,shape,6_15,streaky,0.659906980874317
ViT Base,9.961599478004475,shape,6_20,pointy,0.685434287671233
ViT Base,9.961599478004475,shape,6_20,streaky,0.6788162586926286
ViT Base,9.961599478004475,shape,9_10,pointy,0.6853621917808219
ViT Base,9.961599478004475,shape,9_10,streaky,0.6740171526822559
ViT Large,10.736500689262822,shape,12_10,pointy,0.7067989538043479
ViT Large,10.736500689262822,shape,12_10,streaky,0.6981652
ViT Large,10.736500689262822,shape,12_20,pointy,0.7175256207366985
ViT Large,10.736500689262822,shape,12_20,streaky,0.7220737138927098
ViT Large,10.736500689262822,shape,6_10,pointy,0.6250868630136985
ViT Large,10.736500689262822,shape,6_10,streaky,0.6215658625336926
