architecture,optimal_k,task,implant_type,model_type,accuracy
ResNet50,0.007640036157558438,shape,6_10,pointy,0.4307215753424657
ResNet50,0.007640036157558438,shape,6_10,streaky,0.4112958490566038
ResNet50,0.007640036157558438,shape,6_15,pointy,0.4960583651226158
ResNet50,0.007640036157558438,shape,6_15,streaky,0.475205368852459
ResNet50,0.007640036157558438,shape,6_20,pointy,0.5176963698630137
ResNet50,0.007640036157558438,shape,6_20,streaky,0.497972197496523
ResNet50,0.007640036157558438,shape,9_10,pointy,0.5046571506849316
ResNet50,0.007640036157558438,shape,9_10,streaky,0.45897755158184317
VGG11,1.472823246124505,shape,12_10,pointy,0.6611082880434783
VGG11,1.472823246124505,shape,12_10,streaky,0.6784018344827585
VGG11,1.472823246124505,shape,12_20,pointy,0.7948434788540245
VGG11,1.472823246124505,shape,12_20,streaky,0.7842302888583219
VGG11,1.472823246124505,shape,6_10,pointy,0.6109290273972603
VGG11,1.472823246124505,shape,6_10,streaky,0.6138031132075472
VGG11,1.472823246124505,shape,6_15,pointy,0.6926057493188011
VGG11,1.472823246124505,shape,6_15,streaky,0.6632037431693989
VGG11,1.472823246124505,shape,6_20,pointy,0.6874599726027397
VGG11,1.472823246124505,shape,6_20,streaky,0.6996308066759388
VGG11,1.472823246124505,shape,9_10,pointy,0.639017095890411
VGG11,1.472823246124505,shape,9_10,streaky,0.6517775653370014
VGG13,1.664572314749248,shape,12_10,pointy,0.6830674999999999
VGG13,1.664572314749248,shape,12_10,streaky,0.6969857103448277
VGG13,1.664572314749248,shape,12_20,pointy,0.7895720600272851
VGG13,1.664572314749248,shape,12_20,streaky,0.7721696423658873
VGG13,1.664572314749248,shape,6_10,pointy,0.5809576164383562
VGG13,1.664572314749248,shape,6_10,streaky,0.6070764690026954
VGG13,1.664572314749248,shape,6_15,pointy,0.6761777247956403
VGG13,1.664572314749248,shape,6_15,streaky,0.6601404918032786
VGG13,1.664572314749248,shape,6_20,pointy,0.7107461780821919
VGG13,1.664572314749248,shape,6_20,streaky,0.6899784005563283
VGG13,1.664572314749248,shape,9_10,pointy,0.6487929726027397
VGG13,1.664572314749248,shape,9_10,streaky,0.6729441127922972
VGG16,0.9503772453244863,shape,12_10,pointy,0.7044096195652174
VGG16,0.9503772453244863,shape,12_10,streaky,0.6699530896551724
VGG16,0.9503772453244863,shape,12_20,pointy,0.7898659345156889
VGG16,0.9503772453244863,shape,12_20,streaky,0.731301568088033
VGG16,0.9503772453244863,shape,6_10,pointy,0.5997006849315069
VGG16,0.9503772453244863,shape,6_10,streaky,0.6063241509433963
VGG16,0.9503772453244863,shape,6_15,pointy,0.6952308174386921
VGG16,0.9503772453244863,shape,6_15,streaky,0.6687214890710382
VGG16,0.9503772453244863,shape,6_20,pointy,0.7091125342465753
VGG16,0.9503772453244863,shape,6_20,streaky,0.6846626842837275
VGG16,0.9503772453244863,shape,9_10,pointy,0.662282205479452
VGG16,0.9503772453244863,shape,9_10,streaky,0.653617909215956
VGG19,0.8048322501798796,shape,12_10,pointy,0.6818898097826087
VGG19,0.8048322501798796,shape,12_10,streaky,0.6782028551724137
VGG19,0.8048322501798796,shape,12_20,pointy,0.7624736698499318
VGG19,0.8048322501798796,shape,12_20,streaky,0.7533181155433286
VGG19,0.8048322501798796,shape,6_10,pointy,0.5885664109589042
VGG19,0.8048322501798796,shape,6_10,streaky,0.6186342991913747
VGG19,0.8048322501798796,shape,6_15,pointy,0.6741387602179837
VGG19,0.8048322501798796,shape,6_15,streaky,0.6736887978142077
VGG19,0.8048322501798796,shape,6_20,pointy,0.7300895616438356
VGG19,0.8048322501798796,shape,6_20,streaky,0.6908551877607788
VGG19,0.8048322501798796,shape,9_10,pointy,0.6581627808219178
VGG19,0.8048322501798796,shape,9_10,streaky,0.669459766162311
ViT Base,6.723692599359663,shape,12_10,pointy,0.7026167527173913
ViT Base,6.723692599359663,shape,12_10,streaky,0.7216239862068966
ViT Base,6.723692599359663,shape,12_20,pointy,0.755451377899045
ViT Base,6.723692599359663,shape,12_20,streaky,0.7370676891334249
ViT Base,6.723692599359663,shape,6_10,pointy,0.568339301369863
ViT Base,6.723692599359663,shape,6_10,streaky,0.5957264824797843
ViT Base,6.723692599359663,shape,6_15,pointy,0.713255940054496
ViT Base,6.723692599359663,shape,6_15,streaky,0.6204294945355191
ViT Base,6.723692599359663,shape,6_20,pointy,0.6975189863013698
ViT Base,6.723692599359663,shape,6_20,streaky,0.6845059527121001
ViT Base,6.723692599359663,shape,9_10,pointy,0.6966439863013699
ViT Base,6.723692599359663,shape,9_10,streaky,0.6682911829436039
ViT Large,6.052790582174828,shape,12_10,pointy,0.679664375
ViT Large,6.052790582174828,shape,12_10,streaky,0.7134950068965518
ViT Large,6.052790582174828,shape,12_20,pointy,0.7248065075034107
ViT Large,6.052790582174828,shape,12_20,streaky,0.76889984869326
ViT Large,6.052790582174828,shape,6_10,pointy,0.6277552602739727
ViT Large,6.052790582174828,shape,6_10,streaky,0.6060680862533692
ViT Large,6.052790582174828,shape,6_15,pointy,0.6924082016348774
ViT Large,6.052790582174828,shape,6_15,streaky,0.6543013114754099
ViT Large,6.052790582174828,shape,6_20,pointy,0.7269629315068492
ViT Large,6.052790582174828,shape,6_20,streaky,0.6740870792767734
ViT Large,6.052790582174828,shape,9_10,pointy,0.6355715205479451
